0.000001 -3.230000
0.055848 -3.199513
0.110631 -3.168069
0.164857 -3.145683
0.218335 -3.122376
0.270179 -3.088204
0.321943 -3.063128
0.343667 -2.798981
0.389679 -2.772751
0.431753 -2.726021
0.474053 -2.688526
0.515177 -2.650395
0.586302 -2.758378
0.659097 -2.854907
0.740270 -2.969108
0.828208 -3.090966
0.923371 -3.220231
1.032056 -3.375761
1.149526 -3.537936
1.279463 -3.715895
1.426202 -3.918526
1.591130 -4.145106
1.779354 -4.404134
2.008328 -4.731408
2.253287 -5.061057
2.552576 -5.474117
2.910741 -5.968014
3.886101 -7.627045
3.981060 -7.487427
4.096581 -7.390570
4.214938 -7.300630
4.336558 -7.217387
4.456557 -7.132125
4.574902 -7.044875
4.697153 -6.963961
4.817974 -6.880925
4.925571 -6.779613
5.055176 -6.708591
5.171485 -6.619346
5.292512 -6.535856
2.661105 -3.171454
2.637322 -3.033963
2.636340 -2.928022
2.721138 -2.918135
2.792490 -2.891781
2.884959 -2.885033
2.970836 -2.868978
3.057020 -2.850794
3.158327 -2.843848
3.245212 -2.821099
3.309272 -2.776890
3.341688 -2.706126
3.309607 -2.585827
3.402148 -2.563784
3.430194 -2.492263
3.497741 -2.449227
2.628021 -1.772684
2.708877 -1.759228
2.781569 -1.738181
2.828623 -1.699674
2.883836 -1.665050
2.947440 -1.633860
3.010823 -1.600952
3.082854 -1.570863
3.118787 -1.521205
3.307694 -1.203978
1.597764 -0.519182
1.577893 -0.482446
1.547622 -0.443809
1.526154 -0.408967
1.494247 -0.372592
1.471291 -0.339709
1.447652 -0.307742
1.423353 -0.276705
1.408269 -0.248349
1.382759 -0.219041
1.366565 -0.192091
1.349859 -0.165775
1.322711 -0.139055
1.314974 -0.115078
1.296831 -0.090716
1.278244 -0.067022
1.259231 -0.044005
1.239811 -0.021673
1.220000 -0.000032
1.209816 0.021086
1.189276 0.041499
1.178385 0.061725
1.167152 0.081583
1.145627 0.100198
1.143704 0.120176
1.121581 0.137681
1.109105 0.155842
1.096339 0.173611
1.083294 0.190982
1.069980 0.207951
1.056406 0.224513
1.042583 0.240667
1.028521 0.256406
1.023890 0.274317
0.999721 0.286632
0.994566 0.304036
0.979598 0.318257
0.964439 0.332049
0.958498 0.348830
0.942928 0.361921
0.927196 0.374577
0.920518 0.390701
0.913559 0.406706
0.897259 0.418362
0.889821 0.433958
0.882112 0.449421
0.874134 0.464747
0.865890 0.479932
0.857382 0.494970
0.848614 0.509858
0.839586 0.524590
0.821916 0.533717
0.820767 0.553571
0.810981 0.567811
0.792858 0.576001
0.790671 0.595768
0.780153 0.609476
0.769398 0.622998
0.758408 0.636331
0.747187 0.649470
0.735739 0.662411
0.724066 0.675150
0.712173 0.687684
0.700063 0.700008
0.694687 0.719312
0.682027 0.731327
0.675852 0.750549
0.669211 0.769777
0.655675 0.781339
0.641939 0.792663
0.634165 0.811625
0.625922 0.830555
0.611332 0.841352
0.602291 0.860084
0.592782 0.878755
0.582802 0.897353
0.572352 0.915867
0.561432 0.934288
0.545041 0.943944
0.528484 0.953312
0.516462 0.971220
0.503973 0.988995
0.491021 1.006627
0.477605 1.024106
0.467795 1.050556
0.457205 1.076970
0.442086 1.094057
0.426509 1.110941
0.410477 1.127612
0.397247 1.153514
0.380146 1.169782
0.365521 1.195364
0.347361 1.211173
0.331348 1.236369
0.314559 1.261369
0.296998 1.286154
0.278666 1.310704
0.259566 1.335000
0.241439 1.368871
0.220642 1.392630
0.200481 1.425976
0.178002 1.449108
0.155822 1.481830
0.132554 1.514209
0.108900 1.556194
0.082772 1.577830
0.056271 1.609016
0.029057 1.659746
